	DTHY	h
interesarse por	CVqn	BD
interfaz	CVwZ	BN
interferencia	CVxm	BA
interferencia	CVym	BA
interferencia	CVzm	9
interferir	CV0j	u
interferir	CV1R	x
interferir	CV21	r
interferir	CV2C	z
interior	CV3g	BR
interior	CV4x	BH
interior	CV6x	BJ
interior	CV76	v
interiora	CV3g	BR
interiora	CV4x	BH
interiorizar	CV54	5
intermedia	CWA/	Bg
intermediar	CWAP	w
intermediaria	CV8p	Bp
intermediario	CV+S	/
intermediario	CV/R	+
intermediario	CV8p	Bp
intermedio	CWA/	Bg
intermedio	CWCf	BK
interminable	CWDp	v
interna	CWJT	BP
internacional	CWEY	6
internado	CWFS	z
internar	CWGF	6
internet	CWG/	w
internista	CWHv	Bk
interno	CWJT	BP
interponer	CWKi	9
interpretación	CWLf	BX
interpretación	CWM2	BH
interpretación	CWN9	BF
interpretar	CWPC	s
interpretar	CWPu	0
interrogación	CWVs	9
interrogar	CWWp	BG
interrogar	CWXv	9
interrogar	CWYs	u
interrogatorio	CWZa	BC
interrogatorio	CWac	BY
interrumpir	CWb0	1
interrumpir	CWcp	y
interrupción	CWdb	BA
interruptor	CWeb	6
intersección	CWfV	6
intersección	CWgP	+
intersticio	CWhN	7
intervalo	CWi6	0
intervalo	CWiI	y
intervalo	CWju	w
intervención	CWke	BV
intervención	CWlz	BV
intervención	CWnI	+
intervenir	CWo0	w
intervenir	CWoG	u
intervenir	CWpk	x
intervenir	CWqV	z
intervenir	CWrI	0
interés	CVsY	w
interés	CVt4	t
interés	CVtI	w
interés	CVul	BJ
interés	CVvu	r
intestinal	CWr8	o
intestino	CWtr	t
intestino delgado	CWsk	BH
intimidación	CWuY	BE
intimidad	CWvc	BO
intimidad	CWwq	2
intimidar	CWxg	v
intocable	CW19	t
intolerable	CW2q	0
intolerancia	CW3e	7
intolerante	CW4Z	w
intoxicación	CW5J	+
intoxicar	CW6H	q
intranquila	CW8l	BL
intranquilidad	CW6x	8
intranquilizar	CW7t	4
intranquilo	CW8l	BL
intransferible	CW9w	8
intransitiva	CW+s	BX
intransitivo	CW+s	BX
intriga	CXAv	s
intriga	CXBb	x
intrigado	CXAD	s
intrigante	CXC6	2
intrigante	CXCM	u
intrigar	CXDw	BE
introducción	CXE0	+
introducción	CXFy	BS
introducción	CXHE	+
introducir	CXIC	v
introducir	CXIx	t
introducir	CXJe	u
introducir	CXK8	v
introducir	CXKM	w
introvertida	CXLr	Bd
introvertido	CXLr	Bd
intrusa	CXOQ	+
intruso	CXOQ	+
intruso	CXPO	w
intruso informático	CXNI	BI
intuición	CXP+	x
intuición	CXQv	BL
intuición	CXR6	0
intuir	CXSu	r
intuitiva	CXTZ	BG
intuitivo	CXTZ	BG
intérprete	CWQi	4
intérprete	CWRa	5
intérprete	CWST	3
intérprete	CWTK	2
intérprete	CWU3	1
intérprete	CWUA	3
inundación	CXUf	8
inundar	CXVb	q
inusual	CXWF	q
invadir	CXYK	BF
invadir	CXZP	4
invadir	CXaH	o
invalidar	CXav	s
invalidar	CXbb	q
invalidar	CXcF	x
invalidez	CXc2	3
invalidez	CXdt	4
invasiva	CXkV	BB
invasivo	CXkV	BB
invasión	CXhV	w
invasión	CXiF	BJ
invasión	CXjO	BH
invasor	CXlW	y
invasor	CXmI	BE
invencible	CXnM	w
invención	CXn8	0
inventar	CXr3	BT
inventar	CXrR	m
inventario	CXow	BP
inventario	CXp/	BS
invento	CXtK	t
inventor	CXur	t
inventora	CXt3	0
invernadero	CXvY	8
invernal	CXwU	q
invernar	CXw+	r
inversa	CX1L	BI
inversionista	CXz8	BP
inversión	CXxp	Bf
inversión	CXzI	0
inverso	CX1L	BI
inversor	CX2T	BG
invertebrada	CX3Z	BZ
invertebrado	CX3Z	BZ
invertida	CX4y	BZ
invertida	CX6L	Bf
invertida	CX7q	B1
invertido	CX4y	BZ
invertido	CX6L	Bf
invertido	CX7q	B1
invertir	CX+X	2
invertir	CX/N	p
invertir	CX9f	4
investidura	CX/2	BS
investigación	CYBI	BB
investigación	CYCJ	BX
investigación	CYDg	/
investigación	CYEf	BD
investigación	CYFi	BC
investigador	CYGk	9
investigador	CYHh	8
investigador	CYId	/
investigar	CYJc	s
investigar	CYKI	8
investigar	CYL0	u
investigar	CYLE	w
invierno	CYMi	s
invisibilidad	CYNO	BD
invisible	CYOR	s
invitación	CYO9	2
invitada	CYQm	BE
invitado	CYPz	z
invitado	CYQm	BE
invitado	CYRq	z
invitar	CYTc	g
invitar a alguien	CYSd	/
invocar	CYT8	+
invocar	CYU6	m
invocar	CYVg	q
involucrar	CYW2	t
involucrar	CYWK	s
involuntaria	CYXj	BW
involuntario	CYXj	BW
invulnerable	CYY5	1
inválida	CXel	BA
inválida	CXfl	BB
inválido	CXel	BA
inválido	CXfl	BB
inválido	CXgm	v
inyección	CYZu	BJ
inyectar	CYa3	6
inútil	CXWv	v
inútil	CXXe	s
ion	CYdN	e
ionizar	CYcm	n
ir	CZYg	r
ir	CZZL	i
ir	CZZt	i
ir a inf	CYeK	Bb
ir a pie	CYi1	r
ir a ver	CYlH	w
ir bien	CYl3	u
ir de compras	CYml	1
ir de vacaciones	CYna	BD
ir en bicicleta	CYod	9
ir en coche	CYpa	z
ir en tren	CYqN	t
ir mal	CYwT	w
ira	CYdr	f
irak	CYfl	9
iraní	CYgi	j
iraní	CYhF	BC
iraq	CYfl	9
iraquí	CYjg	k
iraquí	CYkE	BD
iridio	CYq6	q
iris	CYrk	+
irlanda	CYta	c
irlanda del norte	CYsi	4
irlandesa	CYt2	u
irlandesa	CYuk	BD
irlandés	CYuk	BD
irlandés	CYvn	s
ironía	CYxD	r
irracional	CYy7	x
irracionalidad	CYzs	Bo
irradiación	CY1U	9
irradiación	CY2R	7
irradiar	CY33	p
irradiar	CY3M	r
irrazonable	CY4g	2
irreal	CY5W	4
irrecuperable	CY6O	BS
irreducible	CY7g	1
irregular	CY8V	w
irregular	CZAh	t
irregular	CZBO	y
irregular	CZCA	x
irregularidad	CY+M	BL
irregularidad	CY/X	BK
irregularidad	CY9F	BH
irrelevancia	CZCx	9
irrelevante	CZDu	BE
irremediable	CZEy	5
irremediable	CZFr	0
irreparable	CZGf	0
irrepetible	CZHT	w
irrepetible	CZID	2
irresistible	CZI5	5
irrespetuosa	CZJy	BW
irrespetuoso	CZJy	BW
irresponsabilidad	CZLI	BY
irresponsable	CZMg	9
irreversibilidad	CZNd	Bv
irreversible	CZPM	4
irritabilidad	CZQE	BC
irritable	CZRG	r
irritación	CZRx	3
irritación	CZSo	5
irritación	CZTh	2
irritación	CZUX	7
irritante	CZVS	q
irritar	CZV8	3
irritar	CZWz	k
irse	CZX/	h
irse	CZXX	o
irán	CYiH	u
irónica	CYxu	BN
irónico	CYxu	BN
isla	CZaP	i
islam	CZe0	k
islamismo	CZbw	z
islamista	CZcj	t
islamista	CZdQ	z
islamista	CZeD	x
islandesa	CZfY	0
islandesa	CZgM	BG
islandia	CZhS	d
islandés	CZgM	BG
islas canarias	CZhv	BN
islas marshall	CZi8	BK
isleño	CZkG	s
islámica	CZax	/
islámico	CZax	/
israel	CZnF	b
israelí	CZky	5
israelí	CZlr	t
israelí	CZmY	t
italia	CZng	a
italiana	CZn6	y
italiana	CZos	BD
italiano	CZos	BD
italiano	CZpv	w
iterativa	CZqf	BI
iterativo	CZqf	BI
itinerante	CZrn	6
itinerante	CZsh	6
itinerario	CZtb	1
itrio	CZuQ	n
izquierda	CZu3	u
izquierda	CZvl	0
izquierda	CZxm	BC
izquierdista	CZwZ	BN
izquierdo	CZxm	BC
iónica	CYbx	1
iónico	CYbx	1
jaba	CZyo	4
jaba	CZzg	BE
jabade cerveza	CZ2w	BO
jabalina	CZ1o	BI
jabalí	CZ0k	BE
jabonera	CZ3+	1
jabonosa	CZ5Z	BA
jabonoso	CZ5Z	BA
jabón	CZ4z	m
jacinto	CZ6Z	t
jadeante	CZ7G	o
jadear	CZ7u	i
jaguar	CZ8Q	p
jaiba	CZ85	m
jaja risa	CZ9f	x
jalapeño	CZ+Q	6
jalea	CZ/K	k
jalea	CZ/u	BH
jaleo	CaA1	s
jaleo	CaBh	r
jaleo	CaCM	o
jamaicana	CaC0	BK
jamaicano	CaC0	BK
jamaicano	CaD+	0
jamás	CaEy	n
jamás	CaFZ	j
jamón	CaF8	o
jamón serrano	CaGk	By
japonesa	CaIW	w
japonesa	CaJG	BA
japonés	CaJG	BA
japonés	CaKG	t
japón	CaKz	X
jaque	CaNI	k
jaque mate	CaMT	1
jaqueca	CaLK	BJ
jarabe	CaNs	o
jarabe	CaOU	BF
jardinera	CaRv	4
jardinera	CaSn	2
jardinera	CaUW	BJ
jardinero	CaUW	BJ
jardinero	CaVf	0
jardinería	CaTd	5
jardín	CaWT	q
jardín botánico	CaPZ	BL
jardín de infancia	CaQk	BL
jarra	CaW9	4
jarrete	CaX1	u
jarro	CaYj	4
jarrón	CaZb	3
jarrón	CaaS	o
jaula	Caa6	m
jefa	Cact	j
jefa del gobierno	Cabg	BN
jefatura	CadQ	BK
jefe	Cafl	h
jefe del gobierno	Caea	BL
jerarca	CagG	t
jerarquía	Cagz	1
jerarquía	Caho	x
jerez	Cajl	n
jerga	CakM	BB
jeringa	CalN	t
jeringazo	Cal6	1
jeroglífica	Camv	BX
jeroglífico	Camv	BX
jeroglífico	CaoG	7
jeroglífico	CapB	BS
jersey	CaqT	r
jerárquica	CaiZ	BM
jerárquico	CaiZ	BM
jesús	Caq+	g
jesús	Care	X
jeta	Car1	BT
jineta	Cat4	q
jineta	CatI	w
jinete	CavG	n
jinetear	Caui	k
jinetera	Cavt	9
jinetero	Cawq	+
jirafa	Caxo	p
jitomate	CayR	1
jj oo juegos olímpicos	CazG	By
joder	Ca04	BA
joder	Ca14	h
joder	Ca3y	q
joder	Ca4c	BB
joder	Ca5d	BE
joderse	Ca2Z	s
joderse	Ca3F	t
jodida	Ca6h	BL
jodida	Ca7s	BI
jodido	Ca6h	BL
jodido	Ca7s	BI
jornada	Ca+D	v
jornada	Ca/2	o
jornada completa	Ca80	BP
jornada flexible	Ca+y	BE
jornada reducida	CbAe	BX
joroba	CbC7	p
jorobada	CbB1	BG
jorobado	CbB1	BG
jota	CbDk	+
jota	CbEi	BB
jote	CbFj	BE
joule	CbGn	k
joven	CbHL	c
joven	CbJb	r
joven	CbKG	r
jovencita	CbHn	0
jovencito	CbIb	BA
jovial	CbKx	w
joya	CbLh	p
joya	CbMK	x
joyas	CbM7	r
joyero	CbOo	r
joyero	CbPT	z
joyería	CbNm	BC
juanete	CbQG	BD
jubilación	CbRJ	7
jubilación	CbSE	BI
jubilada	CbT+	BH
jubilada	CbTM	y
jubilado	CbT+	BH
jubilado	CbVF	w
jubilar	CbW3	u
jubilarse	CbV1	BC
judicial	Cbb+	BL
judo	CbfK	i
judoka	Cbei	o
judía	CbXl	m
judía	CbY5	n
judía	CbYL	u
judía	CbdJ	0
judías verdes	CbZg	BT
judías verdes	Cbaz	BL
judío	Cbd9	l
judío	CbdJ	0
juego	Cbh7	j
juego	Cbie	l
juego	CbjD	u
juego de azar	Cbfs	BB
juego de caracteres	Cbgt	BO
juerga	Cbjx	By
jueves	Cblj	s
juez	CbpD	n
juez	Cbpq	l
juez de línea	Cbm4	BB
juez de silla	Cbn5	BK
jueza	CbmP	p
jugada	Cbq5	8
jugada	CbqP	q
jugador	Cbso	v
jugadora	Cbr1	z
jugar	CbxZ	e
jugar al fútbol	CbtX	7
jugar al tenis	CbuS	1
jugarse	Cbw1	k
jugarse	CbwJ	s
jugarse la vida	CbvH	BC
jugo	Cbx3	p
jugosa	Cbyg	7
jugoso	Cbyg	7
juguete	Cbzb	s
juguetería	Cb0H	Bc
juguetona	Cb1j	BE
juguetón	Cb1j	BE
juicio	Cb2n	t
juicio	Cb3U	0
juicio	Cb4I	o
juicio	Cb4w	BA
juicio personal	Cb5w	B5
julio	Cb7p	j
junco	Cb8M	BD
jungla	Cb9P	s
junio	Cb97	j
junquera	Cb8M	BD
junquillar	Cb+e	1
junta	Cb/1	m
junta	Cb/T	i
junta	CcAb	q
junta	CcBF	Bi
junta	CcIn	w
junta militar	CcDS	BU
juntamente	CcCn	r
juntar	CcFO	h
juntar	CcFv	i
juntar	CcG4	m
juntar	CcGR	n
juntarse	CcEm	o
junto	CcIn	w
junto a	CcHe	m
junto a	CcIE	j
juntura	CcJX	q
jurada	CcK6	Ba
jurado	CcK6	Ba
jurado	CcMU	u
jurado	CcN1	BC
jurado	CcNC	z
jurado	CcO3	n
juramento	CcPe	BC
jurar	CcQg	g
jurel	CcRA	BE
jurisdicción	CcTj	BB
jurista	CcUk	BI
jurista	CcVs	BG
jurídica	CcSE	Bf
jurídico	CcSE	Bf
justa	Ccjh	s
justa	Cck6	v
justa	CckN	t
justa	Cclp	4
justa	Ccmh	BA
justamente	CcWy	o
justamente	CcXa	BD
justicia	CcYd	z
justicia	CcZ3	r
justicia	CcZQ	n
justificación	Ccai	BD
justificación	Ccbl	BD
justificada	Ccco	BU
justificado	Ccco	BU
justificar	Ccd8	p
justificar	Ccel	v
justificar	CcfU	v
justificativa	CcgD	B+
justificativa	CciB	Bg
justificativo	CciB	Bg
justo	Ccjh	s
justo	Cck6	v
justo	CckN	t
justo	Cclp	4
justo	Ccmh	BA
juvenecer	Ccnh	s
juvenil	CcoN	2
juventud	CcpD	u
juzgado	Ccpx	t
juzgar	Ccqe	k
juzgar	CcrC	i
juzgar	Ccrk	z
júpiter	CcKB	5
ki	Cctr	o
kilo	CctK	h
kilometro	CcsX	z
koala	CcuT	7
koljós	CcvO	q
krimhilda	Ccv4	x
la	CdG8	4
la	CdO3	Bn
la	Cdcw	O
la	CeWn	t
la biblia	Ccyj	y
la haya	CdcT	d
la lealtad	Cdc+	z
la meca	Cddx	s
la meca	Cded	a
la misma	BjQa	BF
la mía	Cdk9	v
la nuestra	Cd2c	m
la que	CeFW	l
la sabe toda	CeRc	6
la semana que viene	CeUv	BS
la suya	Ceb4	u
la tuya	Ce1P	x
la vuestra	CfHT	l
laberinto	Ccwp	0
labia	Ccxd	BG
labio	CczV	l
labor	Cc24	l
labor	Cc4H	n
laborable	Ccz6	z
laboral	Cc0t	1
laboral	Cc1i	h
laboratorio	Cc2D	1
laborista	Cc3d	q
labrador	Cc4u	3
labrador	Cc5l	z
labranza	Cc6Y	y
labrar	Cc71	i
labrar	Cc7K	r
laca	Cc9D	l
laca	Cc9o	h
lacado	Cc8X	s
lacar	Cc+J	f
laceración	Cc+o	6
lacho	Cc/i	z
lacho	CdAV	y
lacio	CdBH	g
lacio	CdBn	m
lacio	CdCN	c
lacrimógeno	CdCp	v
lactante	CdD9	u
lactante	CdDY	l
ladeado	CdFL	m
ladear	CdGb	h
ladearse	CdFx	q
ladilla	CdH0	s
lado	CdIg	j
ladrar	CdJD	c
ladrido	CdJf	BA
ladrillo	CdKf	BG
ladrona	CdLl	r
ladrona	CdMQ	BC
ladrón	CdN6	9
ladrón	CdNS	o
lagartija	CdRk	z
lagarto	CdSX	q
lagarto	CdTB	t
lagaña	CdQe	BG
lago	CdXm	h
lago balatón	CdTu	+
lago de ginebra	CdWS	BU
lago de los cuatro cantones	CdUs	Bm
lago léman	CdWS	BU
lago titicaca	CdYH	BA
lagrimear	CdZz	p
laguna	Cdac	o
laguna	CdbE	o
laguna	Cdbs	n
lamentable	Cde3	BF
lamentar	Cdf8	x
lamentar	Cdh+	m
lamentar	CdhY	m
lamentarse	Cdgt	r
lamer	Cdik	m
lamer	CdkD	e
lamer	Cdkh	c
lamerse	CdjK	5
lamido	Cdls	h
lamido	CdmN	f
lamido	Cdms	o
laminado	Cdn/	p
laminado	CdnU	r
laminar	Cdqe	x
laminar	CdrP	m
lampiño	Cdsf	k
lampiño	CdtD	0
lana	Cdt3	i
lancha	CduZ	q
lancha	CdvD	m
lancha	Cdvp	o
lancha motora	CdwR	8
lancha neumática	CdxN	BG
lancha rápida	CdyT	BC
langosta	Cd0H	v
langosta	CdzV	y
langostino	Cd02	0
lanza	Cd49	4
lanzacohetes	Cd3C	8
lanzado	Cd3+	/
lanzamiento	Cd51	BH
lanzamiento	Cd68	/
lanzamiento	Cd77	+
lanzar	Cd+l	BM
lanzar	Cd/x	BF
lanzarse	Cd93	u
lanzarse a	Cd85	+
lapa	CeA2	p
lapso	CeEX	/
larga	CeLf	w
larga vida	CeJf	t
largar	CeH+	z
largar	CeHb	j
largar	CeIx	u
largarse	CeF7	l
largarse	CeGg	7
largo	CeK1	q
largo	CeKM	p
largo	CeLf	w
largo	CeMP	BS
largo	CeNh	n
largo de aquí	CeMP	BS
laringe	CeOI	t
laringitis	CeO1	BA
larva	CeP1	BB
larva	CeQ2	m
las	Cecm	By
las artes	CeSW	7
las cortes	CeTR	Be
las nuestras	CeXU	r
lastimar	Ceal	n
lastimar	CebM	s
lastimarse	CeZA	w
lastimarse	CeZw	1
lata	Cee6	BP
lata	CeeY	i
latente	CegJ	z
lateral	Ceg8	0
latido	Cehw	z
latido	Ceij	r
latido	CejO	BG
latifundio	CekU	7
latigazo	CelP	2
latiguillo	Cemw	+
latina	Cenu	z
latino	CepH	j
latino	CetE	x
latinoamericana	Cepq	BM
latinoamericano	Ceq2	BE
latinoamericano	Cer6	BK
latir	Cet1	m
latir	Ceu6	l
latir	Ceub	f
latitud	Cevf	BD
latitud	Cewi	w
latoso	Ce0S	9
latoso	Cex5	j
latoso	Cey/	t
latoso	Ceyc	j
latoso	Cezs	m
latín	Ceoh	m
latón	CexS	n
laureada	Ce2A	BU
laureado	Ce3U	BS
laurel	Ce4m	u
laurel	Ce5U	2
laurel	Ce6K	q
lausana	Ce60	e
lava	Ce+M	i
lavabo	Ce79	u
lavabo	Ce7S	r
lavado	Ce8r	q
lavadora	Ce9V	3
lavamanos	Ce+u	1
lavanda	Ce/j	s
lavandera	CfAP	1
lavandería	CfBE	4
lavaplatos	CfB8	BB
lavaplatos	CfC9	z
lavar	CfFT	g
lavar	CfFz	a
lavarse	CfEw	j
lavarse los dientes	CfDw	BA
lavavajillas	CfGN	BG
laxante	CfH4	x
lazo	CfIp	l
lazo	CfJO	j
lazo	CfJx	8
le lleva un rato	Cf9V	BM
le salió el tiro por la culata	CgfX	Bw
leal	CfKt	t
leal	CfL0	m
leal	CfLa	a
lealtad	CfMa	v
lección	CfN3	q
lección	CfNJ	u
lección	CfOh	s
lección	CfPN	2
leche	CfQD	BJ
leche	CfSY	/
leche	CfTX	l
leche descremada	CfRM	BM
lechera	CfT8	v
lechero	CfUr	j
lechero	CfVO	u
lecho	CfW+	5
lecho	CfX3	3
lecho	CfYu	s
lecho de muerte	CfV8	BC
lechoso	Cfaw	j
lechuga	CfbT	BB
lechuga	CfcU	BW
lechuza	Cfdq	7
lechuza	Cfel	8
lechón	CfZa	p
lechón	CfaD	t
lector	Cfhj	o
lector	CfiL	n
lectora	Cffh	s
lectora	Cfg4	r
lectora	CfgN	r
lectura	Cfiy	s
lectura	Cfje	p
lectura	CfkH	q
leer	Cfkx	V
leer	Cfl6	c
leer	CflG	b
leer	Cflh	Z
legado	Cfm7	BP
legado	CfmW	l
legal	CfoK	i
legal	Cfos	BB
legalidad	Cfpt	BT
legalizar	CfrA	u
legalmente	Cfru	p
legendario	CfsX	t
legible	CftE	i
legionela	Cftm	z
legislación	CfuZ	7
legislación	CfvU	BW
legislativo	Cfwq	BD
legislatura	Cfxt	5
legislatura	Cfym	/
legista	Cfzl	x
legitimar	Cf0W	s
legitimidad	Cf1C	8
legua	Cf2j	l
legua	Cf3I	6
legumbre	Cf4C	0
legítimo	Cf1+	l
lejano	Cf55	x
lejanía	Cf42	BD
lejos	Cf77	2
lejos	Cf8x	k
lejía	Cf6q	s
lejía	Cf7W	l
lema	Cf+h	8
lema	Cf/d	l
lema	CgAC	6
lemming	CgA8	q
lencería	CgDl	Ba
lengua	CgFv	r
lengua	CgGa	p
lengua materna	CgPk	BE
lengua nativa	CgQo	BC
lenguado	CgE/	w
lenguaje	CgL6	u
lenguaje	CgMo	u
lenguaje	CgNW	7
lenguaje	CgOR	BT
lenguaje de alto nivel	CgHD	Bo
lenguaje ensamblador	CgIr	B5
lenguaje máquina	CgKk	BW
leningrado	CgRq	q
lenta	CgXj	x
lentamente	CgSU	r
lente	CgVD	l
lenteja	CgS/	o
lenteja	CgTn	t
lentejas	CgUU	v
lentes	CgVo	s
lentitud	CgWU	BP
lento	CgXj	x
leo	CgYU	t
leona	CgZB	l
leopardo	Cgc5	BF
leopardo	CgcJ	w
leopardo de las nieves	CgaJ	CA
lepra	Cgd+	l
leproso	Cgej	0
lesbiana	CghH	m
lesionado	Cght	t
lesionado	Cgia	q
lesionar	CgjE	4
lesión	Cgj8	9
lesión	Cgk5	s
lesión	Cgll	n
leso	CgmM	BK
letal	CgnW	f
letonia	Cgoh	d
letra	CbEi	BB
letra	Cgr1	o
letra	CgrM	p
letra	Cgsd	k
letra	CgtB	BB
letrado	Cgo+	l
letrado	Cgpj	0
letrado	CgqX	1
letrero	CguC	s
letrero	Cguu	r
letrero	CgvZ	r
letrero	CgwE	u
letárgico	Cgn1	s
leucemia	Cgwy	w
leva en polvo	CgzV	9
levadura	Cgxi	u
levadura	CgyQ	BF
levantamiento	Cg0S	7
levantamiento	Cg1N	7
levantar	Cg2w	m
levantar	Cg3W	3
levantar	Cg40	x
levantar	Cg4N	n
levantar	Cg5l	p
levantar	Cg6O	q
levantarse	Cg2I	o
levante	Cg64	u
levante	Cg7m	p
levante	Cg8P	x
levante	Cg9A	3
levantina	Cg93	Bt
levantino	Cg93	Bt
leve	Cg/k	d
leve	ChAB	5
levemente	ChA6	o
levitar	ChBi	l
ley	ChCz	i
ley fonética	ChDV	7
leyenda	ChCH	s
leña	CgCa	o
leña	CgDC	j
leñador	CgBm	0
león	CgZm	j
liada	ChEQ	/
liado	ChEQ	/
liar	ChF3	e
liar	ChFP	o
liar	ChGV	d
libanesa	ChGy	x
libanesa	ChHj	BE
libanés	ChHj	BE
libanés	ChIn	v
liberación	ChKg	4
liberal	ChLY	m
liberalismo	ChL+	7
liberalizar	ChM5	3
liberar	ChNw	m
liberar	ChOW	3
liberar	ChPN	p
libertad de culto	ChQr	Bw
libertina	ChTX	BJ
libertinaje	ChSb	8
libertino	ChTX	BJ
libertino	ChUg	BE
libia	ChVk	o
libia	ChWM	Y
libia	ChWk	y
libio	ChWk	y
libio	ChXW	m
libra	ChX8	m
libra	ChYi	+
libra	ChZg	z
libra	ChaT	l
librar	Cha4	i
libre	Chba	d
libremente	Chb3	p
librero	Che/	y
librería	Chcg	0
librería	ChdU	3
librería	CheL	0
libreta	Chfx	p
libreta	Chga	Bl
libreta de ahorros	Chga	Bl
libro	Chh/	l
libélula	ChJy	u
licencia	ChlM	BK
licencia	ChmW	3
licencia	ChnN	u
licenciada	Chik	5
licenciado	Chjd	3
licenciado	ChkU	4
licenciar	Chor	t
licenciarse	Chn7	w
licenciatura	ChpY	+
liceo	ChqW	w
licor	ChtJ	m
licorería	ChsN	8
licuación	Chtv	y
licuada	Chuh	BC
licuado	Chuh	BC
licuadora	Chvj	3
licuar	Chw7	l
licuar	Chwa	h
liderar	Chxg	1
liderazgo	ChyV	6
lidiar	Ch1A	u
liebre	Ch1u	n
lieja	Ch2V	Z
liendre	Ch2u	x
lienzo	Ch3f	i
lienzo	Ch4B	r
lienzo	Ch4s	q
liga	Ch8Q	i
liga	Ch8y	BM
ligada	Ch5W	4
ligada	Ch6O	5
ligado	Ch5W	4
ligado	Ch6O	5
ligadura	Ch7H	BJ
ligamento	Ch9+	v
ligar	Ch/0	d
ligar	Ch/T	h
ligar	CiAR	g
ligar	CiAx	i
ligarse	Ch+t	m
ligera	CiB/	BG
ligera	CiDF	+
ligeramente	CiBT	s
ligero	CiB/	BG
ligero	CiDF	+
lija	CiE7	BV
lijadora	CiED	4
lijar	CiGQ	w
lila	CiHA	T
lima	CiH1	k
lima	CiHT	i
limar	CiIZ	c
limitación	CiI1	4
limitación	CiJt	6
limitación	CiKn	7
limitada	CiLi	BN
limitada	CiMv	BF
limitado	CiLi	BN
limitado	CiMv	BF
limitar	CiN0	l
limitar	CiOZ	o
limitar	CiPB	p
limite	CiPq	f
limonada	CiQx	w
limonero	CiRh	0
limonero	CiSV	1
limosna	CiUd	u
limpia	CiZ3	q
limpia	Cif3	9
limpia	CifF	y
limpiador	CiXf	Bd
limpiador	CiY8	7
limpiadora	CiVL	BV
limpiadora	CiWg	/
limpiadora	CiXf	Bd
limpiaparabrisas	Ciah	BL
limpiar	Cibs	3
limpiarse los dientes	Cicj	BD
limpieza	Cidm	v
limpieza	CieV	w
limpio	Cif3	9
limpio	CifF	y
limusina	Cig0	w
limón	CiTK	n
limón	CiTx	s
linaje	Cihk	BW
linaza	Cii6	r
lince	Cijl	l
lince rojo	CikK	3
linchamiento	CilB	4
linchar	Cil5	e
linda	Cin1	w
linda	Ciol	u
lindeza	CimX	w
lindeza	CinH	u
lindo	Cin1	w
lindo	Ciol	u
lindura	CipT	w
lindura	CiqD	u
lingüista	CiuF	BP
lingüística	CivU	BY
lingüístico	CivU	BY
lino	Cix7	j
lino	CixY	j
linterna	Ciye	t
linterna	CizL	y
linóleo	Ciws	s
liosa	Ci4O	BG
lioso	Ci4O	BG
liposucción	Ci5U	8
liquidación	Ci6Q	Bb
liquidación	Ci7r	BR
liquidación	Ci88	7
liquidación	Ci93	9
liquidar	Ci+0	n
liquidar	Ci/b	3
liquidar	CjAS	r
liquidez	CjA9	0
liquidez	CjBx	BT
lira	CjFi	j
lira	CjGF	i
lirio	CjIG	3
lisa	CjI9	n
lisa	CjKA	o
lisa	CjKo	p
lisboa	CjJk	c
liso	CjKA	o
liso	CjKo	p
lista	CjNI	k
lista	CjNs	u
lista	CjOa	u
lista	CjPI	BI
lista	CjQQ	5
listado	CjLR	w
listado	CjMB	BH
listo	CjNs	u
listo	CjOa	u
listo	CjPI	BI
listo	CjQQ	5
litera	CjRJ	n
literal	CjRw	n
literalmente	CjSX	BH
literaria	CjTe	BL
literario	CjTe	BL
literatura	CjUp	2
litigio	CjVf	v
litio	CjWO	m
litografía	CjW0	6
litográfica	CjXu	BY
litográfico	CjXu	BY
litoral	CjZG	m
litoral	CjZs	z
litro	Cjaf	l
lituana	Cjbi	5
lituania	CjbE	e
lituano	Cjbi	5
lituano	Cjcb	q
liturgia	CjdF	u
litúrgica	Cjdz	BG
litúrgico	Cjdz	BG
liviana	Cje5	4
liviano	Cje5	4
llaga	Cjfx	l
llama	Cjii	l
llamada	Cjg/	q
llamada	CjgW	p
llamada	Cjhp	5
llamado	Cjhp	5
llamar	CjkD	b
llamar	CjlX	o
llamar	Cjn+	d
llamar	CjnB	f
llamar	Cjng	e
llamar por teléfono	Cjke	5
llamarada	CjjH	8
llamarse	Cjl/	f
llamarse	Cjme	j
llamativa	Cjob	BI
llamativo	Cjob	BI
llana	Cjpj	4
llano	Cjpj	4
llano	Cjqb	k
llanta	Cjq/	m
llanta	Cjrl	n
llanto	CjsM	n
llanura	Cjsz	p
llanura	Cjtc	BA
llave	Cjuc	z
llave	Cjv5	BJ
llave	CjvP	q
llavero	CjxC	z
llegada	Cjx1	s
llegar	Cj0Y	y
llegar a ser	Cjyh	6
llegar a tiempo	Cjzb	9
llegas a punto	Cj1K	BA
llena	Cj3/	s
llenar	Cj3E	7
llenarse	Cj2K	6
lleno	Cj3/	s
llevar	Cj+A	u
llevar	Cj+u	x
llevar	Cj/f	j
llevar	Cj5a	0
llevar	Cj8s	BU
llevar	CkAC	i
llevar	CkAk	/
llevar acabo	Cj4r	v
llevar en sí	Cj6O	2
llevar puesto	Cj7E	9
llevarse	Cj8B	r
llorar	CkBj	h
llorar	CkCE	b
llorona	CkCf	BL
llorosa	CkDq	5
